object name,library name,text,rodata,data,bss,code,flash,ram
ql_nvitem.c.obj,..\..\components\ql-kernel\libs\libql_api_nvitem.a,1232,292,0,0,1524,1524,0
ql_api_nw.c.obj,..\..\components\ql-kernel\libs\libql_api_nw.a,25474,8452,307,2370,33926,34233,2677
ql_api_plmnlist.c.obj,..\..\components\ql-kernel\libs\libql_api_nw.a,268,404,288,0,672,960,288
ql_api_osi.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,5150,344,8,36,5494,5502,44
quec_event.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,2510,653,4,21,3163,3167,25
ql_led.c.obj,..\..\components\ql-kernel\libs\libql_api_pwm.a,164,0,0,5,164,164,5
ql_pwm.c.obj,..\..\components\ql-kernel\libs\libql_api_pwm.a,592,118,192,0,710,902,192
ql_api_rtc.c.obj,..\..\components\ql-kernel\libs\libql_api_rtc.a,1552,311,76,28,1863,1939,104
ql_api_sim.c.obj,..\..\components\ql-kernel\libs\libql_api_sim.a,7090,1381,74,24,8471,8545,98
ql_api_sms.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,8514,897,8,24,9411,9419,32
ql_sms_utf.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,1326,280,0,0,1606,1606,0
ql_api_spi.c.obj,..\..\components\ql-kernel\libs\libql_api_spi.a,3522,532,0,96,4054,4054,96
ql_api_spi6_ext_nor_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,108,16,0,0,124,124,0
ql_api_spi_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_flash.a,280,76,0,20,356,356,20
ql_api_spi_nand_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1796,188,32,0,1984,2016,32
ql_api_spi_nor_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2442,277,8,13,2719,2727,21
ql_uart.c.obj,..\..\components\ql-kernel\libs\libql_api_uart.a,5988,1469,192,276,7457,7649,468
ql_usb.c.obj,..\..\components\ql-kernel\libs\libql_api_usb.a,1360,430,84,81,1790,1874,165
quec_usb_audio.c.obj,..\..\components\ql-kernel\libs\libql_api_usb.a,734,127,0,28,861,861,28
ql_api_usbnet.c.obj,..\..\components\ql-kernel\libs\libql_api_usbnet.a,1268,208,12,10,1476,1488,22
ql_api_virt_at.c.obj,..\..\components\ql-kernel\libs\libql_api_virt_at.a,1416,256,0,44,1672,1672,44
ql_wifi_scan.c.obj,..\..\components\ql-kernel\libs\libql_api_wifiscan.a,4782,1174,60,8,5956,6016,68
ql_api_xlat.c.obj,..\..\components\ql-kernel\libs\libql_api_xlat.a,770,64,0,60,834,834,60
ql_xlat_app.c.obj,..\..\components\ql-kernel\libs\libql_api_xlat.a,328,23,0,8,351,351,8
ql_ssl_ctx.c.obj,..\..\components\ql-kernel\libs\libql_apptcpip.a,1510,0,4,6960,1510,1514,6964
quec_at_app_init.c.obj,..\..\components\ql-kernel\libs\libql_at.a,8,0,0,0,8,8,0
quec_atcmd_general.c.obj,..\..\components\ql-kernel\libs\libql_at.a,9802,2425,373,24,12227,12600,397
quec_atcmd_hw.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1236,218,0,0,1454,1454,0
quec_atcmd_network.c.obj,..\..\components\ql-kernel\libs\libql_at.a,22636,5268,144,2058,27904,28048,2202
quec_atcmd_qcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,10824,3236,409,4,14060,14469,413
quec_atcmd_qdbgcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,4690,1293,289,15,5983,6272,304
quec_atcmd_sim.c.obj,..\..\components\ql-kernel\libs\libql_at.a,2928,1022,24,48,3950,3974,72
